params,trades,net,win_rate,expectancy
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,123.33,47.82608695652174,5.3621739130434785
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,123.33,47.82608695652174,5.3621739130434785
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,123.33,47.82608695652174,5.3621739130434785
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,109.8,40.0,4.3919999999999995
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,109.8,40.0,4.3919999999999995
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,109.8,40.0,4.3919999999999995
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,109.8,40.0,4.3919999999999995
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,109.8,40.0,4.3919999999999995
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,109.8,40.0,4.3919999999999995
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,103.72000000000001,40.0,4.1488000000000005
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,103.72000000000001,40.0,4.1488000000000005
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,103.72000000000001,40.0,4.1488000000000005
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,103.72000000000001,40.0,4.1488000000000005
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,103.72000000000001,40.0,4.1488000000000005
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,103.72000000000001,40.0,4.1488000000000005
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,88.24999999999999,44.0,3.5299999999999994
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,88.24999999999999,44.0,3.5299999999999994
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,88.24999999999999,44.0,3.5299999999999994
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,88.24999999999999,44.0,3.5299999999999994
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",25,88.24999999999999,44.0,3.5299999999999994
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",25,88.24999999999999,44.0,3.5299999999999994
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",31,26.31000000000001,35.483870967741936,0.8487096774193551
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",31,26.31000000000001,35.483870967741936,0.8487096774193551
