symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
FUTU,15M_STK,178.47,2.64,6.17,0.0,True,True
MDGL,15M_STK,594.07,2.63,6.89,0.0,True,True
TWLO,15M_STK,138.37,2.63,14.29,0.0,True,True
URBN,15M_STK,75.33,2.62,5.13,0.0,True,True
DDOG,15M_STK,133.68,2.62,19.21,0.0,True,True
APH,15M_STK,139.73,2.61,43.84,0.0,True,True
OLLI,15M_STK,111.29,2.61,12.18,0.0,True,True
DASH,15M_STK,219.78,2.61,40.52,0.0,True,True
GH,15M_STK,101.79,2.61,8.32,0.0,True,True
CHWY,15M_STK,33.51,2.61,14.4,0.0,True,True
SNOW,15M_STK,216.67,2.58,51.73,0.0,True,True
SNPS,15M_STK,480.42,2.57,36.15,0.0,True,True
M,15M_STK,22.75,2.56,7.37,0.0,True,True
DVN,15M_STK,37.88,2.56,13.19,0.0,True,True
TGT,15M_STK,100.49,2.56,29.79,0.0,True,True
MOH,15M_STK,178.38,2.56,8.43,0.0,True,True
NVDA,15M_STK,188.82,2.55,629.17,0.0,True,True
GTLB,15M_STK,36.19,2.55,7.25,0.0,True,True
WSM,15M_STK,187.81,2.55,9.46,0.0,True,True
HUM,15M_STK,264.46,2.55,19.59,0.0,True,True
TTD,15M_STK,37.67,2.54,18.58,0.0,True,True
XPO,15M_STK,138.93,2.54,10.02,0.0,True,True
ON,15M_STK,56.69,2.53,22.58,0.0,True,True
TSM,15M_STK,319.67,2.53,111.78,0.0,True,True
STZ,15M_STK,141.15,2.52,16.04,0.0,True,True
IRM,15M_STK,83.19,2.52,6.86,0.0,True,True
ICLR,15M_STK,188.79,2.51,13.04,0.0,True,True
IPG,15M_STK,24.58,2.51,12.91,0.0,True,True
RGLD,15M_STK,220.57,2.5,7.76,0.0,True,True
BLDR,15M_STK,104.63,2.5,9.09,0.0,True,True
ONON,15M_STK,46.96,2.5,10.72,0.0,True,True
LEN,15M_STK,104.19,2.5,16.56,0.0,True,True
OKTA,15M_STK,83.65,2.48,7.9,0.0,True,True
DLTR,15M_STK,127.7,2.48,17.51,0.0,True,True
SCCO,15M_STK,148.75,2.48,5.53,0.0,True,True
ALNY,15M_STK,400.02,2.47,26.9,0.0,True,True
DOCU,15M_STK,64.85,2.47,8.48,0.0,True,True
CNC,15M_STK,41.81,2.47,12.66,0.0,True,True
IT,15M_STK,236.97,2.47,9.04,0.0,True,True
SAIA,15M_STK,337.27,2.46,10.53,0.0,True,True
MMYT,15M_STK,81.94,2.46,5.68,0.0,True,True
BWXT,15M_STK,181.79,2.46,6.74,0.0,True,True
PDD,15M_STK,115.77,2.45,30.66,0.0,True,True
DOW,15M_STK,24.29,2.45,12.78,0.0,True,True
NET,15M_STK,195.93,2.44,15.77,0.0,True,True
DY,15M_STK,346.72,2.43,6.49,0.0,True,True
BBIO,15M_STK,78.25,2.42,5.48,0.0,True,True
DBX,15M_STK,26.93,2.42,6.94,0.0,True,True
BURL,15M_STK,298.34,2.41,14.22,0.0,True,True
UAL,15M_STK,113.02,2.4,20.36,0.0,True,True
FNV,15M_STK,208.25,2.4,5.71,0.0,True,True
RRX,15M_STK,146.04,2.39,5.96,0.0,True,True
HAL,15M_STK,29.59,2.38,17.05,0.0,True,True
CMCSA,15M_STK,29.54,2.37,52.99,0.0,True,True
LUV,15M_STK,41.31,2.37,30.82,0.0,True,True
IBKR,15M_STK,67.25,2.36,10.41,0.0,True,True
ADBE,15M_STK,333.33,2.36,44.74,0.0,True,True
ZBRA,15M_STK,248.13,2.36,7.18,0.0,True,True
BABA,15M_STK,155.73,2.36,40.42,0.0,True,True
CMG,15M_STK,37.48,2.36,39.61,0.0,True,True
PINS,15M_STK,26.58,2.36,23.41,0.0,True,True
LYB,15M_STK,44.39,2.36,8.4,0.0,True,True
ILMN,15M_STK,134.38,2.35,7.55,0.0,True,True
CART,15M_STK,43.91,2.34,11.01,0.0,True,True
NBIX,15M_STK,140.6,2.34,7.77,0.0,True,True
DRI,15M_STK,187.23,2.34,15.44,0.0,True,True
EQT,15M_STK,53.46,2.34,28.02,0.0,True,True
ARES,15M_STK,166.33,2.33,36.54,0.0,True,True
EPAM,15M_STK,200.08,2.32,7.0,0.0,True,True
INCY,15M_STK,101.47,2.31,8.08,0.0,True,True
COP,15M_STK,96.72,2.31,32.77,0.0,True,True
DKS,15M_STK,200.19,2.31,15.03,0.0,True,True
URI,15M_STK,844.93,2.31,23.93,0.0,True,True
SFM,15M_STK,80.61,2.3,6.98,0.0,True,True
HII,15M_STK,349.85,2.3,7.93,0.0,True,True
NXPI,15M_STK,221.19,2.29,21.76,0.0,True,True
PSN,15M_STK,62.28,2.28,6.4,0.0,True,True
RGEN,15M_STK,164.37,2.27,5.13,0.0,True,True
ZM,15M_STK,83.36,2.27,7.83,0.0,True,True
ZS,15M_STK,220.54,2.27,12.34,0.0,True,True
BBY,15M_STK,69.16,2.27,12.82,0.0,True,True
CSGP,15M_STK,65.68,2.26,8.79,0.0,True,True
CAT,15M_STK,598.37,2.26,56.66,0.0,True,True
DT,15M_STK,42.36,2.26,6.85,0.0,True,True
SLB,15M_STK,40.21,2.26,31.22,0.0,True,True
OXY,15M_STK,42.38,2.25,16.67,0.0,True,True
FTI,15M_STK,47.32,2.25,7.42,0.0,True,True
LPLA,15M_STK,361.69,2.23,15.4,0.0,True,True
SPOT,15M_STK,575.0,2.23,51.45,0.0,True,True
EME,15M_STK,637.8,2.23,10.26,0.0,True,True
SBUX,15M_STK,83.97,2.22,33.18,0.0,True,True
DECK,15M_STK,106.79,2.22,11.19,0.0,True,True
ELAN,15M_STK,22.51,2.22,6.57,0.0,True,True
MPC,15M_STK,165.1,2.22,18.76,0.0,True,True
CDW,15M_STK,133.12,2.21,10.38,0.0,True,True
HWM,15M_STK,211.66,2.21,15.73,0.0,True,True
HALO,15M_STK,70.31,2.2,7.24,0.0,True,True
AS,15M_STK,37.47,2.2,5.36,0.0,True,True
LKQ,15M_STK,30.04,2.18,6.03,0.0,True,True
MASI,15M_STK,127.41,2.17,7.41,0.0,True,True
NTR,15M_STK,63.16,2.17,8.79,0.0,True,True
HEI,15M_STK,329.26,2.17,7.24,0.0,True,True
CG,15M_STK,60.85,2.15,6.45,0.0,True,True
AN,15M_STK,206.11,2.15,5.94,0.0,True,True
EL,15M_STK,106.75,2.14,13.58,0.0,True,True
ETN,15M_STK,327.32,2.13,37.51,0.0,True,True
GE,15M_STK,320.83,2.13,52.26,0.0,True,True
WDAY,15M_STK,205.73,2.13,22.99,0.0,True,True
TRU,15M_STK,83.21,2.13,6.12,0.0,True,True
UTHR,15M_STK,496.71,2.11,8.61,0.0,True,True
DLR,15M_STK,154.99,2.11,11.74,0.0,True,True
GPN,15M_STK,75.54,2.11,6.94,0.0,True,True
WBD,15M_STK,28.51,2.1,91.18,0.0,True,True
