SCAN SUMMARY:
  Total in scan: 553
  Current tickers: 78
  Already in list: 38
  NEW (delta): 515

NEW CANDIDATES (not in current list):
----------------------------------------------------------------------
Symbol    Price   SMA120    SMA22   ATR%  Vol($M)
----------------------------------------------------------------------
PEN    $ 316.15 $ 263.06 $ 302.94  2.49% $  8.33M
CBRE   $ 164.86 $ 156.16 $ 160.46  1.72% $  8.29M
SYF    $  86.02 $  74.27 $  81.50  1.89% $  8.20M
PKG    $ 207.57 $ 204.79 $ 201.70  1.69% $  8.14M
EAT    $ 151.06 $ 142.26 $ 146.07  3.79% $  8.13M
MGM    $  37.10 $  35.19 $  36.08  2.48% $  8.05M
SITM   $ 378.36 $ 271.30 $ 345.18  4.31% $  8.04M
TSN    $  58.26 $  54.88 $  57.85  1.90% $  8.04M
H      $ 165.50 $ 147.89 $ 161.62  2.18% $  8.01M
PLNT   $ 109.95 $ 104.40 $ 109.86  2.19% $  7.99M
BMRN   $  60.17 $  55.65 $  55.00  3.38% $  7.99M
ARWR   $  70.16 $  35.03 $  63.44  5.40% $  7.93M
JAZZ   $ 170.87 $ 136.42 $ 169.65  2.31% $  7.92M
DOV    $ 199.64 $ 180.00 $ 193.09  1.61% $  7.91M
VTR    $  79.61 $  71.35 $  79.42  1.71% $  7.91M
CCK    $ 102.72 $  98.46 $  98.96  1.92% $  7.89M
HII    $ 355.68 $ 287.75 $ 322.96  2.66% $  7.86M
WPM    $ 121.86 $ 102.22 $ 112.46  3.06% $  7.78M
HALO   $  68.42 $  67.24 $  66.33  2.34% $  7.78M
AKAM   $  88.83 $  79.40 $  87.59  2.21% $  7.78M
EQX    $  14.61 $  10.30 $  13.99  4.43% $  7.72M
PRAX   $ 274.48 $ 113.94 $ 239.30  6.66% $  7.68M
CADE   $  43.82 $  37.77 $  42.15  1.70% $  7.62M
RGLD   $ 232.99 $ 184.63 $ 211.28  2.50% $  7.46M
FTAI   $ 173.31 $ 156.77 $ 171.92  2.55% $  7.42M
WRBY   $  26.29 $  23.59 $  23.44  7.70% $  7.42M
EPAM   $ 209.22 $ 169.68 $ 201.86  2.49% $  7.33M
MDGL   $ 603.58 $ 441.85 $ 577.05  3.02% $  7.32M
URBN   $  78.16 $  71.99 $  77.67  2.94% $  7.31M
HST    $  18.52 $  16.91 $  17.93  2.07% $  7.31M
MKSI   $ 163.52 $ 127.12 $ 159.22  3.28% $  7.29M
RJF    $ 165.90 $ 163.80 $ 161.22  1.53% $  7.27M
MKC    $  68.83 $  67.98 $  66.59  1.64% $  7.23M
HEI    $ 337.67 $ 316.55 $ 315.37  2.26% $  7.19M
AXTA   $  32.30 $  29.59 $  30.48  2.30% $  7.18M
BROS   $  64.04 $  59.70 $  60.64  3.12% $  7.08M
RRX    $ 145.54 $ 144.74 $ 145.12  2.97% $  7.06M
IONS   $  80.58 $  62.14 $  80.32  2.32% $  7.05M
ELAN   $  22.37 $  19.30 $  22.17  2.75% $  7.03M
BWXT   $ 176.96 $ 175.28 $ 176.29  3.00% $  7.00M
JKHY   $ 185.14 $ 165.19 $ 181.19  1.60% $  6.91M
RPRX   $  39.26 $  37.14 $  39.05  1.79% $  6.90M
NXT    $  91.25 $  77.67 $  89.14  4.78% $  6.81M
CLF    $  13.74 $  11.61 $  12.89  3.63% $  6.80M
VIK    $  72.92 $  61.59 $  68.93  2.34% $  6.79M
IAG    $  17.33 $  11.38 $  15.71  4.04% $  6.75M
ALLY   $  46.28 $  40.47 $  43.47  2.21% $  6.74M
COMP   $  10.67 $   8.62 $  10.58  3.76% $  6.71M
EVR    $ 351.22 $ 317.64 $ 332.77  2.49% $  6.62M
NLY    $  23.22 $  21.27 $  22.61  1.50% $  6.59M
CG     $  60.93 $  59.79 $  57.16  2.84% $  6.59M
TRU    $  86.75 $  86.32 $  84.57  2.36% $  6.51M
AN     $ 211.96 $ 209.43 $ 211.68  2.30% $  6.50M
TCOM   $  72.20 $  69.36 $  71.01  1.76% $  6.47M
CRL    $ 203.32 $ 169.53 $ 188.86  2.29% $  6.40M
ROL    $  60.66 $  57.77 $  60.37  1.84% $  6.38M
MIDD   $ 150.69 $ 134.12 $ 134.34  2.72% $  6.35M
CX     $  11.85 $   9.44 $  11.12  2.34% $  6.33M
JLL    $ 346.72 $ 299.53 $ 331.07  2.14% $  6.30M
BALL   $  52.29 $  51.36 $  50.03  1.93% $  6.30M
FNV    $ 215.69 $ 191.78 $ 207.92  2.27% $  6.29M
BWA    $  45.41 $  41.98 $  43.89  2.14% $  6.29M
KYMR   $  83.22 $  55.94 $  77.85  7.64% $  6.28M
CW     $ 568.72 $ 525.57 $ 551.75  2.56% $  6.24M
GPCR   $  69.62 $  29.45 $  52.86 12.31% $  6.22M
PRIM   $ 129.36 $ 119.97 $ 127.62  4.53% $  6.13M
SMTC   $  75.54 $  62.83 $  74.51  3.93% $  6.12M
AMG    $ 292.11 $ 238.93 $ 274.48  1.92% $  6.09M
CYTK   $  64.19 $  51.93 $  64.07  4.38% $  6.04M
GFI    $  46.02 $  36.54 $  43.31  4.09% $  5.96M
EXK    $   9.79 $   7.18 $   9.08  6.01% $  5.95M
RYTM   $ 112.28 $ 100.23 $ 108.75  4.11% $  5.94M
ALK    $  51.36 $  50.94 $  48.38  3.45% $  5.90M
AS     $  37.82 $  35.87 $  37.66  2.77% $  5.89M
CWST   $ 100.85 $  96.09 $  97.85  2.37% $  5.88M
WAB    $ 219.58 $ 200.51 $ 212.86  1.80% $  5.87M
RGEN   $ 165.85 $ 138.60 $ 163.99  2.39% $  5.82M
LSCC   $  76.59 $  66.23 $  74.32  3.51% $  5.82M
FROG   $  66.81 $  50.85 $  64.80  3.78% $  5.81M
KTOS   $  80.00 $  73.79 $  75.72  4.65% $  5.80M
AAOI   $  41.00 $  27.45 $  29.87  8.34% $  5.75M
IFF    $  66.90 $  66.38 $  66.44  2.15% $  5.71M
AGI    $  40.30 $  31.62 $  37.31  3.24% $  5.70M
HSBC   $  79.55 $  68.16 $  73.76  1.50% $  5.68M
MKTX   $ 182.66 $ 181.93 $ 172.10  1.72% $  5.68M
BCS    $  25.62 $  20.91 $  23.69  1.55% $  5.64M
ZETA   $  19.10 $  18.35 $  18.38  3.89% $  5.59M
SCCO   $ 148.20 $ 117.89 $ 140.17  2.41% $  5.53M
NOK    $   6.58 $   5.33 $   6.25  2.00% $  5.52M
NYT    $  71.00 $  59.28 $  66.91  1.56% $  5.51M
BTG    $   4.73 $   4.31 $   4.56  3.89% $  5.50M
PI     $ 177.71 $ 169.64 $ 163.59  3.79% $  5.49M
TROW   $ 104.74 $ 104.31 $ 103.74  1.74% $  5.45M
UNM    $  79.08 $  75.41 $  76.26  1.88% $  5.42M
SNX    $ 153.72 $ 150.72 $ 153.12  1.85% $  5.39M
ONTO   $ 161.89 $ 124.14 $ 153.86  3.52% $  5.38M
TFX    $ 122.09 $ 121.21 $ 121.47  3.22% $  5.36M
NDSN   $ 244.11 $ 227.37 $ 237.59  1.79% $  5.36M
EIX    $  60.10 $  55.64 $  58.56  1.79% $  5.34M
AES    $  13.96 $  13.60 $  13.84  2.20% $  5.31M
BBIO   $  76.56 $  57.06 $  73.81  2.77% $  5.27M
AYI    $ 372.15 $ 340.44 $ 366.08  2.05% $  5.26M
IEX    $ 180.16 $ 169.20 $ 176.79  1.52% $  5.23M
ALC    $  80.12 $  79.97 $  79.30  1.51% $  5.19M
COLB   $  28.60 $  26.21 $  28.51  1.73% $  5.17M
UUUU   $  15.09 $  14.01 $  14.79  6.95% $  5.16M
COGT   $  39.76 $  19.80 $  39.61  4.94% $  5.14M
GKOS   $ 116.72 $  92.68 $ 109.59  2.27% $  5.04M
INDV   $  36.16 $  25.73 $  35.00  2.59% $  5.02M
BILL   $  55.16 $  48.76 $  53.18  2.58% $  5.01M
GIL    $  63.10 $  56.50 $  59.76  2.38% $  4.96M
RGA    $ 206.22 $ 191.82 $ 197.34  1.69% $  4.95M
DTM    $ 120.66 $ 109.50 $ 119.54  1.69% $  4.95M
TTMI   $  72.67 $  55.84 $  70.79  5.33% $  4.93M
SWK    $  74.88 $  71.81 $  72.82  2.60% $  4.92M
PTCT   $  78.30 $  62.34 $  77.89  2.56% $  4.89M
CROX   $  90.62 $  86.81 $  87.81  2.65% $  4.89M
UBS    $  47.18 $  39.56 $  41.89  1.90% $  4.87M
HBM    $  19.87 $  14.10 $  17.96  3.13% $  4.85M
AVY    $ 181.82 $ 171.97 $ 177.55  1.57% $  4.73M
BUD    $  63.83 $  62.21 $  62.78  1.54% $  4.71M
BRKR   $  48.12 $  38.55 $  47.04  3.37% $  4.68M
NTRS   $ 140.77 $ 129.69 $ 135.41  1.50% $  4.68M
RS     $ 295.29 $ 289.30 $ 287.59  1.64% $  4.67M
CMA    $  88.60 $  73.83 $  85.13  1.61% $  4.67M
EXEL   $  46.51 $  40.52 $  43.26  2.59% $  4.66M
RYAAY  $  73.48 $  62.82 $  68.91  1.77% $  4.65M
ALSN   $ 100.69 $  87.68 $  94.84  2.26% $  4.63M
VERA   $  55.70 $  28.76 $  43.77  4.80% $  4.62M
BEN    $  24.17 $  23.80 $  23.29  1.90% $  4.61M
LMND   $  79.84 $  58.02 $  78.01  6.49% $  4.61M
HAS    $  81.64 $  77.85 $  81.63  1.98% $  4.60M
TPG    $  65.14 $  59.03 $  62.91  2.63% $  4.47M
MGA    $  53.74 $  46.41 $  51.14  1.68% $  4.45M
LAD    $ 346.16 $ 318.62 $ 333.45  2.21% $  4.45M
ASX    $  15.53 $  12.29 $  15.27  2.56% $  4.43M
MUSA   $ 410.10 $ 388.24 $ 395.50  2.28% $  4.40M
LEA    $ 116.64 $ 105.10 $ 111.67  1.88% $  4.39M
DBRG   $  13.62 $  11.52 $  12.38  8.17% $  4.38M
WFRD   $  78.07 $  66.00 $  77.36  2.68% $  4.35M
HSIC   $  76.20 $  69.43 $  75.28  1.54% $  4.32M
HMY    $  21.56 $  16.85 $  19.88  3.88% $  4.29M
VTRS   $  12.24 $  10.22 $  11.30  2.55% $  4.24M
DB     $  39.51 $  35.16 $  36.97  1.70% $  4.23M
WAL    $  86.82 $  82.89 $  84.73  2.29% $  4.22M
AIT    $ 264.19 $ 259.56 $ 259.28  1.65% $  4.21M
JHG    $  47.63 $  43.71 $  44.97  1.60% $  4.20M
KRYS   $ 250.73 $ 179.05 $ 232.57  2.76% $  4.19M
PFG    $  89.55 $  82.00 $  87.72  1.70% $  4.13M
CAPR   $  29.70 $   9.58 $  21.53  6.49% $  4.13M
SF     $ 128.72 $ 116.01 $ 125.50  1.94% $  4.11M
TTC    $  79.02 $  75.21 $  73.46  2.51% $  4.11M
BRZE   $  35.82 $  28.81 $  32.07  4.80% $  4.10M
LUNR   $  16.70 $  10.70 $  11.64  8.00% $  4.06M
FNB    $  17.60 $  16.11 $  17.18  1.51% $  4.04M
MUFG   $  15.95 $  15.15 $  15.86  2.03% $  4.04M
LECO   $ 245.31 $ 235.93 $ 242.12  1.73% $  4.02M
TXT    $  90.72 $  82.38 $  85.68  1.58% $  3.99M
ERJ    $  64.49 $  55.43 $  60.99  2.72% $  3.97M
JEF    $  63.86 $  59.13 $  60.04  2.55% $  3.95M
SBSW   $  15.12 $  10.37 $  13.28  3.84% $  3.95M
APG    $  39.37 $  35.91 $  39.04  2.27% $  3.93M
RUN    $  20.14 $  16.39 $  18.44  5.22% $  3.92M
RBC    $ 458.58 $ 405.56 $ 447.83  1.82% $  3.91M
BTU    $  30.78 $  23.71 $  28.65  4.33% $  3.90M
VIAV   $  18.26 $  13.54 $  17.98  3.98% $  3.87M
PNFP   $ 101.28 $  95.06 $  97.15  1.56% $  3.86M
YETI   $  45.16 $  36.56 $  43.25  2.53% $  3.86M
HRI    $ 156.17 $ 132.19 $ 146.26  2.98% $  3.77M
G      $  48.06 $  43.41 $  46.35  1.54% $  3.77M
BAP    $ 289.76 $ 255.93 $ 272.97  1.99% $  3.75M
ONB    $  23.08 $  21.79 $  22.54  1.76% $  3.74M
UMC    $   7.98 $   7.31 $   7.84  1.65% $  3.73M
VLY    $  11.91 $  10.54 $  11.67  1.80% $  3.70M
FRPT   $  64.18 $  58.86 $  61.64  2.84% $  3.68M
CMC    $  70.78 $  58.80 $  67.42  2.13% $  3.67M
JBLU   $   4.74 $   4.69 $   4.73  4.50% $  3.64M
CELC   $ 102.51 $  61.38 $ 101.40  3.94% $  3.63M
ZIM    $  21.06 $  15.80 $  19.76  4.45% $  3.61M
FLS    $  71.36 $  59.11 $  71.15  2.02% $  3.58M
OMF    $  69.04 $  59.65 $  65.72  2.02% $  3.58M
SPR    $  39.52 $  38.81 $  36.37  2.39% $  3.58M
IMAX   $  37.76 $  31.57 $  37.10  3.37% $  3.57M
GLOB   $  68.00 $  67.50 $  67.05  3.38% $  3.57M
CORT   $  83.66 $  75.93 $  83.00  3.84% $  3.57M
THO    $ 106.40 $ 102.61 $ 104.58  2.26% $  3.55M
AXSM   $ 153.89 $ 125.73 $ 149.20  2.26% $  3.54M
HXL    $  76.42 $  66.04 $  75.09  2.23% $  3.49M
ORLA   $  14.55 $  11.39 $  13.46  5.00% $  3.49M
DCI    $  91.27 $  81.17 $  91.07  1.57% $  3.46M
KRG    $  24.00 $  22.45 $  23.16  1.54% $  3.46M
WBS    $  64.53 $  59.39 $  62.57  1.55% $  3.44M
AEIS   $ 217.71 $ 177.16 $ 214.40  2.89% $  3.43M
