symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,hold_weeks,entry_rsi,backtest_days
WDC,2024-08-05 04:00:00+00:00,2024-09-16 04:00:00+00:00,54.13,66.86,92,1170.7,MeanRev,6.0,30.0,1095
WDC,2024-10-14 04:00:00+00:00,2024-10-21 04:00:00+00:00,65.59,69.46,76,294.12,MeanRev,1.0,37.5,1095
WDC,2024-12-30 05:00:00+00:00,2025-01-13 05:00:00+00:00,59.05,65.06,84,504.84,MeanRev,2.0,43.7,1095
WDC,2025-03-03 05:00:00+00:00,2025-03-31 04:00:00+00:00,49.32,36.5,100,-1281.6,SL,3.9,34.4,1095
WDC,2025-04-07 04:00:00+00:00,2025-04-28 04:00:00+00:00,29.34,44.69,100,1535.0,MeanRev,3.0,25.0,1095
WDC,2025-05-05 04:00:00+00:00,2025-05-12 04:00:00+00:00,44.27,50.0,100,573.5,MeanRev,1.0,32.6,1095
NET,2023-05-08 04:00:00+00:00,2023-05-15 04:00:00+00:00,45.03,57.99,100,1295.5,MeanRev,1.0,43.1,1095
NET,2023-09-25 04:00:00+00:00,2023-10-02 04:00:00+00:00,57.17,62.56,87,468.49,MeanRev,1.0,37.1,1095
NET,2023-10-23 04:00:00+00:00,2023-10-30 04:00:00+00:00,58.62,64.45,85,495.55,MeanRev,1.0,39.3,1095
NET,2024-05-13 04:00:00+00:00,2024-06-17 04:00:00+00:00,72.44,78.03,69,385.71,MeanRev,5.0,43.5,1095
NET,2024-06-24 04:00:00+00:00,2024-07-01 04:00:00+00:00,77.28,86.98,64,620.8,MeanRev,1.0,38.5,1095
NET,2024-07-22 04:00:00+00:00,2024-08-12 04:00:00+00:00,79.39,82.41,62,187.55,MeanRev,3.0,38.9,1095
GS,2023-05-15 04:00:00+00:00,2023-05-22 04:00:00+00:00,320.35,331.91,15,173.47,MeanRev,1.0,32.3,1095
GS,2023-10-23 04:00:00+00:00,2023-10-30 04:00:00+00:00,298.68,327.84,16,466.56,MeanRev,1.0,39.9,1095
GS,2025-03-10 04:00:00+00:00,2025-03-31 04:00:00+00:00,543.0,460.82,9,-739.65,SL,3.0,40.9,1095
GS,2025-04-07 04:00:00+00:00,2025-04-21 04:00:00+00:00,447.0,545.6,11,1084.6,MeanRev,2.0,35.4,1095
GS,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,545.5,567.04,9,193.9,MeanRev,1.0,38.4,1095
FSLR,2023-07-10 04:00:00+00:00,2023-07-17 04:00:00+00:00,187.53,197.87,26,268.84,MeanRev,1.0,42.2,1095
FSLR,2023-08-21 04:00:00+00:00,2023-10-02 04:00:00+00:00,181.97,142.97,27,-1053.11,SL,6.0,31.0,1095
FSLR,2023-10-09 04:00:00+00:00,2023-11-13 05:00:00+00:00,144.53,154.99,34,355.47,MeanRev,5.0,32.6,1095
FSLR,2023-11-20 05:00:00+00:00,2023-11-27 05:00:00+00:00,155.16,160.34,32,165.76,MeanRev,1.0,31.1,1095
FSLR,2023-12-04 05:00:00+00:00,2023-12-11 05:00:00+00:00,160.81,168.61,31,241.8,MeanRev,1.0,42.3,1095
FSLR,2024-02-26 05:00:00+00:00,2024-03-04 05:00:00+00:00,142.25,161.35,35,668.5,MeanRev,1.0,44.6,1095
FSLR,2024-09-09 04:00:00+00:00,2024-09-16 04:00:00+00:00,209.63,240.23,23,703.8,MeanRev,1.0,29.7,1095
FSLR,2024-10-21 04:00:00+00:00,2025-01-13 05:00:00+00:00,198.26,192.94,25,-133.0,MeanRev,12.0,41.2,1095
FSLR,2025-01-20 05:00:00+00:00,2025-01-27 05:00:00+00:00,190.76,158.93,26,-827.5,SL,1.0,39.7,1095
FSLR,2025-02-03 05:00:00+00:00,2025-03-03 05:00:00+00:00,163.3,131.12,30,-965.49,SL,4.0,34.9,1095
FSLR,2025-03-10 04:00:00+00:00,2025-04-21 04:00:00+00:00,137.49,141.85,36,157.14,MeanRev,6.0,19.8,1095
FSLR,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,143.65,140.67,34,-101.15,MeanRev,1.0,22.6,1095
FSLR,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,149.24,158.36,33,301.12,MeanRev,1.0,35.0,1095
UAL,2023-09-18 04:00:00+00:00,2023-10-09 04:00:00+00:00,45.27,38.58,100,-668.6,SL,3.0,41.1,1095
UAL,2023-10-16 04:00:00+00:00,2023-10-23 04:00:00+00:00,39.05,33.75,100,-529.9,SL,1.0,19.0,1095
UAL,2023-10-30 04:00:00+00:00,2023-11-27 05:00:00+00:00,34.27,40.22,100,594.5,MeanRev,4.0,3.1,1095
UAL,2023-12-04 05:00:00+00:00,2023-12-11 05:00:00+00:00,40.11,43.58,100,347.0,MeanRev,1.0,31.0,1095
UAL,2024-08-05 04:00:00+00:00,2024-09-02 04:00:00+00:00,37.12,46.05,100,893.0,MeanRev,4.0,28.4,1095
UAL,2025-03-10 04:00:00+00:00,2025-03-31 04:00:00+00:00,80.17,57.31,62,-1417.13,SL,3.0,38.7,1095
UAL,2025-04-07 04:00:00+00:00,2025-05-05 04:00:00+00:00,54.59,77.27,91,2063.88,MeanRev,4.0,22.3,1095
UAL,2025-05-12 04:00:00+00:00,2025-05-26 04:00:00+00:00,82.83,79.48,60,-200.7,MeanRev,2.0,31.3,1095
UAL,2025-06-16 04:00:00+00:00,2025-06-23 04:00:00+00:00,75.24,79.16,66,258.72,MeanRev,1.0,43.8,1095
EBAY,2023-10-16 04:00:00+00:00,2023-10-23 04:00:00+00:00,42.25,38.15,100,-409.7,SL,1.0,44.4,1095
EBAY,2023-10-30 04:00:00+00:00,2023-11-20 05:00:00+00:00,38.43,41.45,100,302.0,MeanRev,3.0,26.1,1095
MS,2023-05-08 04:00:00+00:00,2023-06-05 04:00:00+00:00,85.41,86.2,58,45.82,MeanRev,4.0,35.7,1095
MS,2023-10-09 04:00:00+00:00,2023-10-23 04:00:00+00:00,79.69,72.26,62,-460.85,SL,2.0,43.4,1095
MS,2023-10-30 04:00:00+00:00,2023-11-13 05:00:00+00:00,70.12,80.31,71,723.49,MeanRev,2.0,16.8,1095
MS,2025-03-10 04:00:00+00:00,2025-03-31 04:00:00+00:00,116.25,99.35,43,-726.74,SL,3.0,38.8,1095
MS,2025-04-07 04:00:00+00:00,2025-04-28 04:00:00+00:00,96.72,120.5,51,1213.03,MeanRev,3.0,31.6,1095
C,2023-05-15 04:00:00+00:00,2023-06-05 04:00:00+00:00,45.69,48.3,100,261.0,MeanRev,3.0,40.0,1095
C,2023-08-21 04:00:00+00:00,2023-10-23 04:00:00+00:00,42.59,38.28,100,-430.9,SL,9.0,39.0,1095
C,2023-10-30 04:00:00+00:00,2023-11-06 05:00:00+00:00,38.55,42.11,100,356.0,MeanRev,1.0,23.6,1095
C,2024-08-05 04:00:00+00:00,2024-08-19 04:00:00+00:00,53.96,62.14,92,752.56,MeanRev,2.0,40.6,1095
C,2024-09-16 04:00:00+00:00,2024-09-23 04:00:00+00:00,58.16,61.88,85,315.78,MeanRev,1.0,42.0,1095
C,2025-04-07 04:00:00+00:00,2025-04-21 04:00:00+00:00,56.31,68.45,88,1068.32,MeanRev,2.0,36.3,1095
C,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,68.63,71.42,72,200.88,MeanRev,1.0,38.1,1095
SHOP,2023-08-14 04:00:00+00:00,2023-08-28 04:00:00+00:00,54.49,66.69,91,1110.65,MeanRev,2.0,40.5,1095
SHOP,2023-09-25 04:00:00+00:00,2023-10-30 04:00:00+00:00,52.8,61.53,94,820.62,MeanRev,5.0,39.4,1095
SHOP,2024-04-22 04:00:00+00:00,2024-04-29 04:00:00+00:00,70.09,74.45,71,309.56,MeanRev,1.0,35.0,1095
SHOP,2024-05-13 04:00:00+00:00,2024-06-10 04:00:00+00:00,58.98,67.67,84,729.96,MeanRev,4.0,28.1,1095
SHOP,2024-06-17 04:00:00+00:00,2024-06-24 04:00:00+00:00,67.22,66.08,74,-84.36,MeanRev,1.0,40.5,1095
SHOP,2024-07-01 04:00:00+00:00,2024-07-29 04:00:00+00:00,65.95,54.42,75,-864.53,SL,4.0,36.2,1095
SHOP,2024-08-05 04:00:00+00:00,2024-08-12 04:00:00+00:00,49.09,75.19,100,2609.25,TP,1.0,33.1,1095
SHOP,2025-03-10 04:00:00+00:00,2025-03-31 04:00:00+00:00,96.07,71.74,52,-1265.16,SL,3.0,39.4,1095
