symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
CARR,15M_STK,53.51,1.97,21.47,53.36,True,True
TEL,15M_STK,233.13,1.97,17.89,232.29,True,True
JHX,15M_STK,20.8,1.97,6.45,20.4,True,True
GOOG,15M_STK,315.33,1.96,131.74,313.06,True,True
IVZ,15M_STK,26.93,1.96,8.43,26.55,True,True
MUSA,15M_STK,405.84,1.95,5.06,402.41,True,True
BIIB,15M_STK,177.81,1.94,12.72,175.89,True,True
EVR,15M_STK,351.45,1.94,5.92,341.53,True,True
GS,15M_STK,914.25,1.93,46.02,886.05,True,True
CWAN,15M_STK,24.12,1.92,15.4,22.65,True,True
TRGP,15M_STK,186.76,1.92,11.35,182.45,True,True
ODFL,15M_STK,159.16,1.91,14.72,157.13,True,True
BA,15M_STK,227.72,1.9,46.23,210.22,True,True
MRK,15M_STK,106.49,1.9,62.5,102.03,True,True
TPR,15M_STK,129.1,1.89,12.37,124.39,True,True
MIDD,15M_STK,150.75,1.86,6.15,144.22,True,True
EBAY,15M_STK,87.06,1.85,16.03,84.33,True,True
NUE,15M_STK,169.45,1.85,9.49,162.98,True,True
CRH,15M_STK,126.46,1.84,50.28,125.6,True,True
LII,15M_STK,498.89,1.84,14.36,498.78,True,True
WST,15M_STK,276.37,1.83,8.27,273.06,True,True
ZTS,15M_STK,125.86,1.83,24.33,122.11,True,True
BP,15M_STK,35.84,1.82,18.2,34.94,True,True
CF,15M_STK,80.14,1.82,6.29,78.04,True,True
CSL,15M_STK,328.53,1.82,7.08,328.06,True,True
ABNB,15M_STK,132.99,1.81,21.81,131.64,True,True
D,15M_STK,59.24,1.81,17.85,58.96,True,True
BMY,15M_STK,53.48,1.81,39.85,53.25,True,True
OC,15M_STK,114.15,1.81,5.45,113.86,True,True
OMC,15M_STK,81.33,1.81,15.27,78.76,True,True
CMI,15M_STK,522.02,1.8,19.21,512.9,True,True
CRL,15M_STK,202.12,1.8,6.02,196.19,True,True
SNX,15M_STK,153.46,1.8,5.67,153.35,True,True
KNSL,15M_STK,392.8,1.8,5.19,385.67,True,True
BX,15M_STK,158.76,1.79,20.89,153.91,True,True
KEYS,15M_STK,206.59,1.79,9.07,206.56,True,True
LYV,15M_STK,145.38,1.79,13.91,141.47,True,True
EXPE,15M_STK,282.92,1.78,22.66,279.63,True,True
BG,15M_STK,92.67,1.78,5.34,91.35,True,True
PLNT,15M_STK,109.67,1.78,7.95,109.6,True,True
ULTA,15M_STK,619.85,1.77,22.66,597.45,True,True
ELV,15M_STK,354.26,1.77,18.95,345.6,True,True
JLL,15M_STK,335.83,1.77,5.52,335.02,True,True
NLY,15M_STK,22.9,1.76,6.88,22.67,True,True
SU,15M_STK,45.58,1.75,9.88,43.7,True,True
EMR,15M_STK,135.87,1.75,13.21,135.4,True,True
FDX,15M_STK,293.1,1.75,16.57,286.14,True,True
BNTX,15M_STK,96.61,1.74,6.38,94.57,True,True
JAZZ,15M_STK,173.19,1.74,6.79,168.34,True,True
LMT,15M_STK,496.99,1.74,19.07,476.4,True,True
APO,15M_STK,146.55,1.73,22.72,145.8,True,True
CLX,15M_STK,100.82,1.73,7.93,100.82,True,True
PEN,15M_STK,309.44,1.73,7.93,309.07,True,True
ADM,15M_STK,59.05,1.72,6.67,58.49,True,True
APTV,15M_STK,78.45,1.72,5.23,77.31,True,True
AXTA,15M_STK,33.02,1.72,7.31,31.23,True,True
BN,15M_STK,46.63,1.72,13.72,46.12,True,True
BWA,15M_STK,46.64,1.72,6.01,44.64,True,True
TEVA,15M_STK,30.94,1.72,16.93,30.29,True,True
AMG,15M_STK,288.7,1.71,7.24,281.15,True,True
TAP,15M_STK,47.4,1.7,6.05,46.79,True,True
MLM,15M_STK,634.46,1.7,12.88,629.53,True,True
PM,15M_STK,160.23,1.69,32.14,156.42,True,True
MAS,15M_STK,64.47,1.69,5.97,64.09,True,True
APD,15M_STK,250.47,1.68,19.15,245.34,True,True
NOC,15M_STK,585.14,1.68,16.58,567.92,True,True
OKE,15M_STK,74.34,1.68,10.0,73.57,True,True
BHP,15M_STK,61.78,1.67,7.85,59.99,True,True
TT,15M_STK,398.05,1.67,19.87,394.35,True,True
JCI,15M_STK,122.24,1.67,20.56,118.32,True,True
JD,15M_STK,29.55,1.66,10.75,29.24,True,True
