model,period,feature,mean_winners,mean_losers,median_winners,median_losers,corr_with_return,q1_expectancy,q2_expectancy,q3_expectancy,q4_expectancy,q5_expectancy,q1_n,q2_n,q3_n,q4_n,q5_n,q5_minus_q1,dev_quintile_edges
A_full_hypothesis,oos,sig_atr_pct,0.021409853269479633,0.020155457421816153,0.020541865315916837,0.01943346808949704,0.019873141291567645,0.0005796310424829145,-0.0012860814145670763,0.004070396099864978,0.008655907056434202,0.004120689475540566,162.0,232.0,264.0,205.0,111.0,0.003541058433057652,0.01537 / 0.01868 / 0.02216 / 0.02687
A_full_hypothesis,oos,sig_ext,0.02571335731230954,0.02397430400614918,0.025437094130282563,0.023767094725647406,0.06818256303556185,-0.0023530660779704144,0.004356531041791003,0.0028834235220464507,-0.0009625580270966955,0.012012253555052338,195.0,228.0,178.0,187.0,186.0,0.014365319633022752,0.0125 / 0.02151 / 0.02887 / 0.03737
A_full_hypothesis,oos,sig_ext_atr,1.2197898256085673,1.1971327519858246,1.1500369787275224,1.1728503699184507,0.03950396260408184,-0.0012536934454299648,-0.00046815001116600776,0.00971095341532323,0.00358009692507313,0.004301146513717681,189.0,210.0,201.0,171.0,203.0,0.005554839959147646,0.5916 / 1.041 / 1.368 / 1.73
A_full_hypothesis,oos,sig_pb_depth,0.045251620251549524,0.04280762144925606,0.04224345307856003,0.03888415927785188,0.005694469334926876,0.003999751130549923,-0.0003303439757475595,0.00023674601543518742,0.006833309759031602,0.005181157674325125,160.0,217.0,189.0,227.0,181.0,0.0011814065437752022,0.02692 / 0.03499 / 0.04378 / 0.05823
A_full_hypothesis,oos,sig_pb_depth_atr,2.128396417594295,2.130866371264016,2.038305447491744,2.0444198179072273,-0.0067015349494304235,0.007451808567249805,-0.0007570330879563233,0.0003647219268615425,0.0033349128215022614,0.005191026822431405,171.0,180.0,192.0,185.0,246.0,-0.0022607817448184004,1.525 / 1.841 / 2.128 / 2.533
A_full_hypothesis,oos,sig_pb_vol_ratio,0.8224901994701102,0.8207175544204225,0.8432486914919757,0.8348601866239921,0.022014373253038743,0.001711485955910918,0.001910198902411156,0.00819259441957601,0.0011677601927955856,0.0035597672835533103,170.0,189.0,174.0,228.0,213.0,0.0018482813276423924,0.7083 / 0.7937 / 0.8533 / 0.926
A_full_hypothesis,oos,sig_range_atr,1.1871623301070464,1.2157222877742195,1.1330202995819536,1.1328990422394323,-0.02071009100871342,0.0017278694444460409,0.006698524507567031,-0.0035146885469262055,0.012534504977410505,-0.0021043133706206037,206.0,178.0,177.0,208.0,205.0,-0.0038321828150666443,0.841 / 1.03 / 1.219 / 1.517
A_full_hypothesis,oos,sig_clv,0.8460794974547075,0.8588590175483588,0.8509847812393776,0.8666636506895278,-0.03716766502692513,0.006834903910119904,0.005771745659291375,0.0016323377099318815,3.3109311279838776e-05,0.0007487908211864646,207.0,214.0,196.0,189.0,168.0,-0.006086113088933439,0.7746 / 0.8421 / 0.9011 / 0.9536
A_full_hypothesis,oos,sig_body_frac,0.5765032934229645,0.5815627236660574,0.6611210164015382,0.6510242769241094,0.005908462882297558,0.005186722588671586,-0.0021986208673054493,0.0016155521235158648,0.007030278050169631,0.004202600162003341,193.0,173.0,210.0,166.0,232.0,-0.0009841224266682446,0.2763 / 0.5484 / 0.7014 / 0.8066
A_full_hypothesis,oos,sig_vol_ratio,1.2620153667595981,1.2824535580028027,1.1605240839037287,1.1590805507368243,-0.02331821454620366,0.004501565896441778,0.001048254290269588,0.0030484295978491396,0.00738126171246529,0.0005226759937518438,143.0,231.0,202.0,203.0,195.0,-0.003978889902689934,1.039 / 1.113 / 1.21 / 1.398
