period,model,dimension,value,share_of_days,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,sig_fwd10,all_days_fwd10
dev,A_full_hypothesis,vix_vs_sma,VIX>SMA20(rising),0.4298941798941799,255,0.3215686274509804,0.058065759629261596,-0.023239001081469635,-0.013542550045337443,0.002906059225510604,0.8301475229327179,1.1843236586342691,0.7410451025052041,0.052657611208006556,9.949019607843137,0.05045078343554829,-0.021125507539593746,0.04473587282457239,0.7269466901240978,0.0037768018557448437,-0.00023907093302728033
dev,A_full_hypothesis,breadth_state,NEUTRAL,0.23015873015873015,148,0.32432432432432434,0.048327365733627385,-0.022374916361810583,-0.01173675401075891,0.0005555535069801058,0.15054045119612683,1.036747363745856,0.08222191903305565,0.08105786702542317,11.027027027027026,0.04485374750244044,-0.02057365293532683,0.03911760212969647,0.7990041568752522,0.0029612467419095753,0.004296568077557996
dev,A_full_hypothesis,breadth_state,STRONG,0.533068783068783,546,0.3076923076923077,0.05727289977861611,-0.02427869131880924,-0.016358231935244605,0.0008141059419370234,0.3483988460764839,1.0484346865973424,0.44450184429761475,-0.015511559963952775,10.591575091575091,0.049509288068970196,-0.02219162055860304,0.04674180893302412,0.7900969405946631,0.002213316306087901,0.0013620781262825062
dev,A_full_hypothesis,breadth_state,WEAK,0.23677248677248677,61,0.45901639344262296,0.07894479952813727,-0.0321225340448985,-0.007898557879039148,0.018859192841085115,1.884783636070007,2.0852485103657683,1.150410763306192,0.605105422616731,13.688524590163935,0.0818857937199649,-0.025128529611098384,0.05739556042154935,0.6053609136489952,0.016007183417350506,0.011025698759126115
dev,A_full_hypothesis,breadth200_bucket,40-60,0.21031746031746032,111,0.38738738738738737,0.07297023482327004,-0.026354939139758463,-0.008894509399260397,0.01212238050357691,1.859067522559052,1.7508271358222314,1.345584235897037,0.328313739020691,12.972972972972974,0.07191541014846908,-0.024523282274086098,0.055907500251219516,0.7046045023948444,0.008796939438000357,-0.007947471389654636
dev,A_full_hypothesis,breadth200_bucket,<40,0.2619047619047619,61,0.36065573770491804,0.07258909087773757,-0.026825211326678408,-0.011943220342391814,0.0090291271732749,1.0410566357171918,1.5264629900336406,0.5507767575697688,0.2502114963317542,11.295081967213115,0.06160357282996681,-0.024435459737914916,0.052470200757776184,0.6358056922943336,0.00019928558735521855,0.014711061961756158
dev,A_full_hypothesis,breadth200_bucket,>=60,0.5277777777777778,583,0.307032590051458,0.052610810101109635,-0.023852874937942,-0.016437974798998223,-0.000376031675523059,-0.179215285543123,0.9772505506865385,-0.2192264668299434,-0.019325974182622115,10.499142367066895,0.046183586387356305,-0.02140946550474488,0.043446417326163264,0.8044139317183179,0.0025839567690999032,0.00373975598135613
dev,A_full_hypothesis,mkt_x_vix,SPY<SMA200 & VIX high/shock,0.24735449735449735,71,0.36619718309859156,0.0821404214359124,-0.029203014307036392,-0.015259350191375809,0.011570638218550486,1.3575708452202848,1.6251373801346425,0.8215153135170845,0.3008414802595481,12.056338028169014,0.0700965375958951,-0.024987884320192486,0.05904689891330308,0.6384387956654163,0.003712447017682362,0.014081077605466287
dev,A_full_hypothesis,mkt_x_vix,SPY<SMA200 & VIX low/normal,0.10052910052910052,29,0.3103448275862069,0.029905174345031545,-0.022087721080184818,-0.008894509399260397,-0.005951994913738361,-0.9700743102647924,0.6092674027533306,-0.17260785249841248,-0.16217664889057612,8.89655172413793,0.03772418659846512,-0.024697841044881756,0.04275475241808692,0.9375097122583775,-0.019522463059582034,-0.014759618872801333
dev,A_full_hypothesis,mkt_x_vix,SPY>SMA200 & VIX high/shock,0.17989417989417988,106,0.33962264150943394,0.06434655057996776,-0.025851997340026665,-0.01541954046189914,0.004781471764877107,0.8003105276092856,1.2800756278743461,0.5068360070769733,0.06208957798340565,10.377358490566039,0.05813071092106919,-0.024517710599887766,0.05039430396047062,0.7175091240264323,0.00885844869190022,0.008668511867309887
