period,model,experiment,step,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,ablH_no_trigger_volume,ablation_of_A_full_hypothesis,no_trigger_volume,1372,0.2988338192419825,0.05735356700110367,-0.023757592803878607,-0.013516999617893821,0.0004811648637910253,0.33231350216422073,1.0288848762435505,0.6601581931212868,0.011688709660534112,10.11807580174927,0.04796270628144321,-0.022249564345044368,0.045519615958749995,0.781944423873841,0.002898659717089499,3585,-0.001435202214883561,50000.0,52708.896692014045,0.0541779338402808,0.016302238756878907,-0.19937929469780766,0.14308646220818308,0.10574482598877859,0.17874643333623239,0.24716004821665533,0.09700751007390992,0.58170206722065,33716.213490698676,65553.5443904,2.8835978835978833,6.6,203.8,3585.0
dev,ablH_no_pullback_volume,ablation_of_A_full_hypothesis,no_pullback_volume,924,0.30735930735930733,0.061015691247522943,-0.024761043464042926,-0.016036208356210557,0.0016032343044470182,0.8311512942122741,1.0934802901342449,1.4813884973090448,0.03436760767077414,11.165584415584416,0.051001986009301586,-0.022625969062789436,0.04660879708749503,0.7759700784004441,0.0018021356557823035,1710,-0.0025317262761907567,50000.0,58672.64331387108,0.1734528662774215,0.05477917451420047,-0.14288518571396686,0.1372704712819679,0.09915568337415401,0.45662278948283197,0.6317824382616452,0.38390434116687855,0.5962682039617784,35147.018731586504,66651.27996799999,2.963756613756613,6.8,187.8,1710.0
dev,ablH_no_candle,ablation_of_A_full_hypothesis,no_candle,1090,0.3211009174311927,0.056319207649913786,-0.024199662130586008,-0.013478924643092804,0.0016550208264552132,0.9464242560282055,1.1007369827694733,1.8039727008361823,0.0413620631327533,10.328440366972478,0.04941118695025849,-0.02205659280548448,0.04432823991726243,0.7659964800581599,0.0006087774348948358,2265,-0.003725084497078224,50000.0,58170.65035383917,0.16341300707678336,0.05059222666729559,-0.15271207246293955,0.14024189357367128,0.10097073868525504,0.40983686069610004,0.5783926572167688,0.36747449515276653,0.5807104964448729,34779.05853420767,68276.4388818,2.83968253968254,6.6,203.8,2265.0
dev,ablH_candle->plain_up_close,ablation_of_A_full_hypothesis,candle->plain_up_close,844,0.31635071090047395,0.0580917608003132,-0.02450188620099729,-0.015278215484278379,0.0016266727437300806,0.8457011143644027,1.097110749223074,1.372911795708188,0.04166252293954523,10.969194312796208,0.05019604468905925,-0.02226505192787669,0.04542924909776773,0.7729844324717067,0.0016785177107961947,1375,-0.0026553442211768655,50000.0,59573.071581675475,0.19146143163350926,0.05964293156255911,-0.1732031859804462,0.13788670374145523,0.09866784741350328,0.48124866908755354,0.678820751862273,0.3473818800710133,0.5721231700723945,34162.03717953783,72027.84004940001,2.810582010582011,6.6,187.2,1375.0
dev,ablH_no_pullback_location,ablation_of_A_full_hypothesis,no_pullback_location,1036,0.3166023166023166,0.05469037894669281,-0.02360179043867426,-0.013133102742155178,0.0011856917605539243,0.6841695463537728,1.0735111724913544,1.2283766639338656,0.026745129681847824,10.293436293436294,0.04769443444368802,-0.02164589525935211,0.04433533057233746,0.7706339023110289,0.0015331559744056814,1916,-0.0028007059575673784,50000.0,51311.154969519375,0.026223099390387604,0.007592237553078118,-0.19482050414459784,0.13801955165188698,0.10024513733683556,0.11736948638954148,0.16951581495328802,0.0876895674387593,0.5941164292024899,33365.21960392593,62591.414871999994,2.9531746031746033,6.6,205.8,1916.0
dev,ablH_no_extension_filter,ablation_of_A_full_hypothesis,no_extension_filter,762,0.3123359580052493,0.06600072129097095,-0.02687879714585319,-0.016786724772715478,0.002130816224178503,0.9582691147100837,1.115281561270456,1.623681962824019,0.05453364908889292,11.780839895013123,0.05762374443909689,-0.024451323545335493,0.051876745250073956,0.8014070082107133,0.00516673613874855,1125,0.0008328742067754899,50000.0,59102.16763575259,0.18204335271505187,0.05706254652236949,-0.16784383021678384,0.1482059014932899,0.10675327161514744,0.44496890874841916,0.6179321221345877,0.3441617302328899,0.5562812371209335,32757.81738009974,69777.19185640001,2.893386243386243,7.0,182.6,1125.0
dev,ablF_FINAL,ablation_of_FINAL,FINAL,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,86521.78046089699,0.7304356092179398,0.19757805309232626,-0.23337141386907523,0.20060826631221204,0.14430069541477716,0.9921286147945804,1.385658548362971,0.8710281654900414,0.9332839867234647,66607.55101216005,97532.2282702,5.328042328042328,10.0,377.6,19646.0
dev,ablF_remove_stock_trend,ablation_of_FINAL,remove_stock_trend,5236,0.31092436974789917,0.06038451723334043,-0.02412790568557242,-0.010701660551525494,0.002149066146358467,2.3726277737582397,1.1292597362256056,11.252510342332933,0.040172390592123644,8.000381970970206,0.05011978458237128,-0.023697895429581107,0.04715102504076835,0.7231758228244959,0.003391798299219112,34526,-0.0009420636327539481,50000.0,66642.51350590769,0.3328502701181539,0.09947982594719526,-0.24160157786518482,0.2137339236921428,0.15390259060925335,0.5455386469664336,0.7601461426794376,0.41430250215198783,0.9585983570986786,60984.61060230582,78127.5855972,5.667724867724868,11.8,469.8,34819.0
dev,ablF_trend_only_close>SMA200,ablation_of_FINAL,trend_only_close>SMA200,3657,0.3196609242548537,0.05803098196379445,-0.02286849075703179,-0.00997355463573013,0.0029919094646378517,2.8709649166907067,1.1923027648302662,10.941412912180624,0.05661274822274011,8.734208367514356,0.04864193361751322,-0.022157934625329192,0.04466751822919698,0.7118470408388414,0.003021591246632372,25646,-0.0013122706853406878,50000.0,77082.41468328866,0.5416482936657733,0.1504406718580921,-0.23899340480336528,0.20424099637230272,0.14644851384518673,0.7735445102370566,1.0877040290373277,0.6584106719744344,0.9517479752908674,63853.875530974336,85505.9546964,5.545767195767196,11.0,412.4,25868.0
dev,ablF_remove_pullback_location(=random uptrend day),ablation_of_FINAL,remove_pullback_location(=random uptrend day),4911,0.38851557727550395,0.03581934852461533,-0.01971940372259212,-0.004771159652456225,0.0018582666678928765,2.5674285412049476,1.1541093044444966,9.125947606021917,0.030599119144242175,5.718998167379352,0.03516215942539309,-0.018436481902546844,0.030256058099269043,0.6367265321473212,0.003139884133202583,28101,-0.001193977798770477,50000.0,60135.72875766249,0.2027145751532497,0.06344666412620366,-0.2928607687925278,0.20668154203734646,0.15409587651734347,0.4012517888220806,0.5387427110567836,0.21736834814950096,0.9469681829065412,56717.14227701032,75672.21978700001,5.507407407407407,10.6,503.4,28269.0
