period,model,family,gating,slice,slice_value,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_vol_regime,SHOCK,891,0.45230078563411896,0.04252270719499207,-0.0245882468981302,-0.0026613657411087566,0.0057660903628442926,2.550021352151928,1.4281655890061655,5.137586513294265,0.09702160711858648,5.712682379349046,0.04329160750837327,-0.021304867879308166,0.03146402694832535,0.5342359254604607,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_breadth_state,NEUTRAL,1251,0.41886490807354115,0.028395974616599366,-0.01892364398381554,-0.0034671752228275787,0.0008968837113222777,0.7642304293627683,1.0815556900311745,1.1220015228641693,0.023950144540655464,5.215027977617906,0.03246934045552493,-0.017838461884792364,0.027747327284386527,0.6946812867869717,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_breadth_state,STRONG,2839,0.3694963015146178,0.03482417454192768,-0.01866017197105747,-0.005679103586166967,0.0011020962544167913,1.2703642584877393,1.0936733918631654,3.1288512662892707,0.014228124897897194,5.77562522014794,0.033624853862141625,-0.01757619647987237,0.030341409436452402,0.6585209627214395,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_breadth_state,WEAK,821,0.40803897685749085,0.050547066242942855,-0.02481105426855427,-0.004378245646254331,0.005937996122860511,2.3232825919779057,1.4042979869130958,4.875094816868479,0.09734104349803062,6.291108404384897,0.044581315363731666,-0.022322563945401497,0.03435324322235639,0.5192307848816086,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,ALL,ALL,3131,0.3129990418396678,0.07071348931396135,-0.023535334905708572,-0.011822166272870138,0.005964456769563391,4.175167943508363,1.368886846489109,18.67471414550298,0.13094512200766958,9.855956563398275,0.054021052599992465,-0.02218930162738362,0.04578505884911804,0.691067721411447,0.004223599632234519,24562.0,-0.0023793125579875786,50000.0,76833.537852243,0.53667075704486,0.11480690997711136,-0.19612079170313518,0.17701762220096431,0.12020467550948025,0.6815194096950639,1.010325215234165,0.6027629832633276,0.9661349256795576,59292.45071175322,86065.1881868,5.165450643776824,8.0,467.0,24767.0
oos,FAM_A_simple,FAM_A_simple,spy200,ALL,ALL,3034,0.31245880026367834,0.06876677741211211,-0.02344530058718173,-0.011815019931828818,0.005367174674298352,3.8749132086527474,1.332959336053225,16.2840079618212,0.1313404271132447,9.816743572841133,0.053296319169967306,-0.02205416381753186,0.04581061325255789,0.7016059800763775,0.004055778429783987,23526.0,-0.00254713376043811,50000.0,74621.16560188991,0.49242331203779804,0.108896007958483,-0.180245722208557,0.16493528998669796,0.11057991242635083,0.6898484377997478,1.0418626459240414,0.6375436166091276,0.9217188486763555,56378.23030531286,83643.09243300001,4.800858369098712,7.6,437.0,23731.0
oos,FAM_A_simple,FAM_A_simple,ungated,reg_market_state,BEARISH,206,0.3640776699029126,0.13756114693076987,-0.027192912865985033,-0.011485769470079787,0.032790361331862625,2.9946879447182884,2.896209840362778,6.7548144343637,0.4449051114536207,13.451456310679612,0.09162171081264682,-0.025121221239326932,0.05463830061887176,0.5062719366772506,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,reg_market_state,BULLISH,2831,0.3087248322147651,0.06637686475779406,-0.023441371044344402,-0.011947907456388407,0.004287748733497002,3.1695776774755164,1.2646033643624675,12.138616664530012,0.11602627247755634,9.629106322854115,0.05180543627611106,-0.022126729809963316,0.045367683436877755,0.7114283246105775,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,reg_market_state,MIXED,94,0.32978723404255317,0.031250119663302274,-0.018848740681795303,-0.008976562678039701,-0.0023267760999014235,-0.6492452968206389,0.8158127520836518,-0.21871695339073383,-0.10778354614249389,8.808510638297872,0.038347374101071516,-0.017648507745006387,0.037463935102330606,0.9164544763033864,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,HIGH,7,0.5714285714285714,0.360228557049367,-0.028027252327269065,0.0024541095186279005,0.19383321017366587,1.0159128174728744,17.137061354572303,1.356832471215661,2.6336297280999665,15.857142857142858,0.2894587611299597,-0.031117303125094278,0.08432212550425854,0.26380955514185384,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,LOW,1206,0.30845771144278605,0.06762279371838474,-0.022281547059442963,-0.011527065073657694,0.005450140145658123,2.6101975726245885,1.353706943572826,6.572869015663696,0.13443640521434438,9.843283582089553,0.05157838191145601,-0.020547291077271268,0.04353983499891253,0.6990180162210594,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,NORMAL,1581,0.30676786843769766,0.06909197796261488,-0.024290104013152996,-0.012400158197365618,0.004356518224827663,2.199831532967618,1.2587208780340629,6.887655313452535,0.0954056353962825,9.51359898798229,0.05357587618010016,-0.023112265453053425,0.04759411002555659,0.7148226735316348,,,,,,,,,,,,,,,,,,,,
oos,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,SHOCK,337,0.35311572700296734,0.07725224138132185,-0.02447550173947805,-0.008972313016526456,0.011446164228994323,2.6729889821994903,1.722939204141053,3.8573573451710867,0.2331963046269784,11.382789317507418,0.05996058022763317,-0.023550022412450525,0.044665534835941774,0.6169918612736185,,,,,,,,,,,,,,,,,,,,
