period,model,grouping,group,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,tickers,median_ticker_cagr,median_ticker_max_dd,median_ticker_sharpe,median_bh_cagr,pct_tickers_profitable
oos,FINAL,bucket,Biotech,131,0.24427480916030533,0.06363564472546387,-0.022998611980618817,-0.015411246635031461,-0.0018360454569955609,-0.40716953875636114,0.8943625511979691,-0.24052195486641847,-0.024824853997675703,9.198473282442748,0.04592727038230362,-0.02301243109339714,0.04402570536327245,0.8376919755888125,4,-0.028150302604389277,-0.2669094824408905,-0.11736478269021217,0.16695747564437802,0.25
oos,FINAL,bucket,Communication/Internet,220,0.33181818181818185,0.07748060398073826,-0.021994706305319578,-0.008554892486591414,0.011013010289599615,2.2177670393207856,1.7493646874357678,2.4228622637119153,0.25517339805795275,10.840909090909092,0.05882659271169227,-0.02084907980699604,0.04554036902670609,0.6213711848049971,8,0.033989334982723385,-0.21154388978225136,0.3075194613782343,0.13683354141856507,0.625
oos,FINAL,bucket,Consumer Discretionary,331,0.2930513595166163,0.05345064629171391,-0.02231102669605896,-0.012527902711522598,-0.00010896542773881581,-0.039415922235702665,0.9930915390275011,-0.03606755658154803,0.0018585351036325445,8.885196374622357,0.04339394427213447,-0.02152810048183401,0.04229801591395803,0.7587913080179469,10,-0.02422553777573011,-0.23083088460664702,-0.044196022811817955,0.027308403665615488,0.2
oos,FINAL,bucket,Consumer Staples,242,0.3140495867768595,0.0454084748536834,-0.01684508207091201,-0.00876449864223977,0.0027056217566468806,0.9464101154918754,1.234153810272457,0.6547604651085451,0.14887523087594615,10.285123966942148,0.03732185992424886,-0.016535474716161673,0.03348096958352066,0.7355901835850106,7,0.008978269241063153,-0.2242457596257551,0.13413223549719513,0.2038393538533616,0.5714285714285714
oos,FINAL,bucket,Energy,209,0.2583732057416268,0.06819466199355993,-0.026215500034866245,-0.01852590902040896,-0.0018224438169953715,-0.4210850417377547,0.9062630991526307,-0.3808907577520326,-0.07123143857617749,8.124401913875598,0.048960822244765584,-0.0247885583644742,0.04751963692100842,0.8309593097820124,7,-0.03503962196982413,-0.3179418035954942,-0.2000639546525749,0.0648909604090182,0.2857142857142857
oos,FINAL,bucket,Financials,406,0.3645320197044335,0.053029310418191346,-0.02096530045079947,-0.008966026326238385,0.006008104496517381,2.223806112381196,1.4509648728787286,2.439290425586057,0.14168460315441808,11.293103448275861,0.04680386907111235,-0.01916487211338283,0.03803833175297697,0.6455502736195226,12,0.028611428143598405,-0.19355488538779436,0.30396138124602756,0.2130302902841138,0.75
oos,FINAL,bucket,Healthcare,250,0.284,0.05615490166768338,-0.021626018035363737,-0.011383439786414373,0.0004637631603016481,0.1432945179302863,1.0299506783901062,0.11594079007541203,-0.004324773557842399,8.76,0.04155680435521532,-0.019775061565453982,0.037400791395462867,0.7626498833641071,9,-0.023734917260768817,-0.23129649668544894,-0.07421990802431373,0.02471752684626094,0.4444444444444444
oos,FINAL,bucket,Industrials,282,0.2553191489361702,0.07582234795792184,-0.0215792079152532,-0.013746688624671488,0.0032892744353446857,0.8991660657980434,1.2046889620632388,0.9275753907672014,0.10061524219788272,9.074468085106384,0.046383511521370026,-0.02101495991516092,0.040460613791836623,0.6784080097488848,8,0.010989211202722227,-0.24601990882400798,0.15424948748467704,0.14273916913640716,0.5
oos,FINAL,bucket,Materials,156,0.28205128205128205,0.06479283673140011,-0.0268854332540846,-0.01343098848604718,-0.0010274596684350706,-0.19132956820113425,0.9467702631141347,-0.16028370827587102,-0.0256280395400498,8.044871794871796,0.047986555728738424,-0.02551073687797725,0.047330179245804384,0.8115337834071775,4,-0.021466535545025145,-0.3645012931360234,0.0313111716645362,0.16086236630786566,0.25
oos,FINAL,bucket,Real Estate,68,0.3088235294117647,0.0447245757032379,-0.01951827110894926,-0.010769475550666652,0.00032143158304971745,0.06448826510038484,1.0238263905316412,0.021857347647380787,0.014900743408578488,9.75,0.038836699526073395,-0.01907163519687284,0.03615767563062389,0.7796930346375249,3,-0.011863172417145962,-0.19244136884147411,-0.09099617523462611,-0.02226555989950063,0.3333333333333333
