entry_price,exit_price,premium,exit_premium,cost,pnl,pnl_pct,reason,symbol,entry_time,atr
81.125,80.83707119926595,0.36,0.22,35.99,-14.4,-40.0,SL,CRWV,2025-11-13 15:00:00+00:00,1.2
81.5,81.1995518278898,0.38,0.23,37.56,-15.02,-40.0,SL,CRWV,2025-11-13 15:15:00+00:00,1.25
80.25,79.93981241161197,0.39,0.23,38.77,-15.51,-40.0,SL,CRWV,2025-11-13 15:30:00+00:00,1.29
80.89,80.57659723935396,0.39,0.24,39.18,-15.67,-40.0,SL,CRWV,2025-11-13 15:45:00+00:00,1.31
80.76,80.44206886511441,0.4,0.24,39.74,-15.9,-40.0,SL,CRWV,2025-11-13 16:00:00+00:00,1.32
80.47,80.16380680332051,0.38,0.23,38.27,-15.31,-40.0,SL,CRWV,2025-11-13 16:15:00+00:00,1.28
80.65,80.34947774594048,0.38,0.23,37.57,-15.03,-40.0,SL,CRWV,2025-11-13 16:30:00+00:00,1.25
80.565,80.26965790694473,0.37,0.22,36.92,-14.77,-40.0,SL,CRWV,2025-11-13 16:45:00+00:00,1.23
78.17,77.89885062373324,0.34,0.2,33.89,-13.56,-40.0,SL,CRWV,2025-11-13 18:30:00+00:00,1.13
77.4,77.53121748900476,0.33,0.39,32.8,6.56,20.0,TP,CRWV,2025-11-13 19:15:00+00:00,1.09
73.94,73.62312558471724,0.4,0.24,39.61,-15.84,-40.0,SL,CRWV,2025-11-14 15:15:00+00:00,1.32
68.42,68.09465991328356,0.41,0.24,40.67,-16.27,-40.0,SL,CRWV,2025-11-21 15:15:00+00:00,1.36
66.03,66.20290789740406,0.43,0.52,43.23,8.65,20.0,TP,CRWV,2025-11-21 15:30:00+00:00,1.44
65.895,65.54059352386442,0.44,0.27,44.3,-17.72,-40.0,SL,CRWV,2025-11-21 16:00:00+00:00,1.48
66.52,66.25333415574022,0.33,0.2,33.33,-13.33,-40.0,SL,CRWV,2025-11-25 14:45:00+00:00,1.11
229.59,229.20081025367227,0.49,0.29,48.65,-19.46,-40.0,SL,NET,2025-11-05 14:45:00+00:00,1.62
223.06,223.26811086737303,0.52,0.62,52.03,10.41,20.0,TP,NET,2025-11-06 16:00:00+00:00,1.73
233.0,232.71398858368647,0.36,0.21,35.75,-14.3,-40.0,SL,NET,2025-11-12 15:00:00+00:00,1.19
230.95,231.09890530043126,0.37,0.45,37.23,7.45,20.0,TP,NET,2025-11-12 15:15:00+00:00,1.24
228.115,227.7594013520062,0.44,0.27,44.45,-17.78,-40.0,SL,NET,2025-11-12 16:00:00+00:00,1.48
226.59,226.22842982686288,0.45,0.27,45.2,-18.08,-40.0,SL,NET,2025-11-12 16:15:00+00:00,1.51
227.0,226.64934198208695,0.44,0.26,43.83,-17.53,-40.0,SL,NET,2025-11-12 16:30:00+00:00,1.46
225.57,225.22261755479502,0.43,0.26,43.42,-17.37,-40.0,SL,NET,2025-11-12 16:45:00+00:00,1.45
225.385,225.54342979211367,0.4,0.48,39.61,7.92,20.0,TP,NET,2025-11-12 18:00:00+00:00,1.32
223.985,224.13611289232773,0.38,0.45,37.78,7.56,20.0,TP,NET,2025-11-12 19:15:00+00:00,1.26
224.41,224.5567476857329,0.37,0.44,36.69,7.34,20.0,TP,NET,2025-11-12 19:30:00+00:00,1.22
222.4,222.05647266056312,0.43,0.26,42.94,-17.18,-40.0,SL,NET,2025-11-13 14:45:00+00:00,1.43
215.98,215.60808803585826,0.46,0.28,46.49,-18.6,-40.0,SL,NET,2025-11-13 18:00:00+00:00,1.55
215.6,215.23845317615408,0.45,0.27,45.19,-18.08,-40.0,SL,NET,2025-11-13 18:15:00+00:00,1.51
213.84,214.02157531107133,0.45,0.54,45.39,9.08,20.0,TP,NET,2025-11-13 18:30:00+00:00,1.51
213.91,213.56164585086756,0.44,0.26,43.54,-17.42,-40.0,SL,NET,2025-11-13 18:45:00+00:00,1.45
213.84,214.01082156924005,0.43,0.51,42.71,8.54,20.0,TP,NET,2025-11-13 19:00:00+00:00,1.42
213.75,213.9172771714372,0.42,0.5,41.82,8.36,20.0,TP,NET,2025-11-13 19:15:00+00:00,1.39
208.3,208.51517816267634,0.54,0.65,53.79,10.76,20.0,TP,NET,2025-11-14 14:45:00+00:00,1.79
209.43,208.99249769788682,0.55,0.33,54.69,-21.88,-40.0,SL,NET,2025-11-14 15:00:00+00:00,1.82
208.0,208.21594035455254,0.54,0.65,53.99,10.8,20.0,TP,NET,2025-11-14 15:15:00+00:00,1.8
206.08,206.2523771658053,0.43,0.52,43.09,8.62,20.0,TP,NET,2025-11-17 14:45:00+00:00,1.44
197.87,197.37993383071597,0.61,0.37,61.26,-24.5,-40.0,SL,NET,2025-11-18 14:45:00+00:00,2.04
195.65,195.11042427137912,0.67,0.4,67.45,-26.98,-40.0,SL,NET,2025-11-18 15:00:00+00:00,2.25
194.89,194.35245110913772,0.67,0.4,67.19,-26.88,-40.0,SL,NET,2025-11-18 15:15:00+00:00,2.24
