,equity
2025-08-08,54851.97527337736
2025-08-11,54791.38543617735
2025-08-12,54876.033529577355
2025-08-13,54947.31615997736
2025-08-14,55232.41281894201
2025-08-15,55335.756274690255
2025-08-18,55289.12635729027
2025-08-19,55331.00433489026
2025-08-20,55833.39442593836
2025-08-21,55387.2271942846
2025-08-22,56077.06837310031
2025-08-25,55853.72528600031
2025-08-26,55940.698101500304
2025-08-27,55790.93858716992
2025-08-28,55837.75179705551
2025-08-29,55205.643209855516
2025-09-02,54891.676201281276
2025-09-03,54750.10135689657
2025-09-04,54563.86790236617
2025-09-05,54509.776891234775
2025-09-08,54295.33968065167
2025-09-09,54580.17282029998
2025-09-10,54695.30802326694
2025-09-11,54988.64009638142
2025-09-12,54669.60597489778
2025-09-15,54527.92776282852
2025-09-16,54226.338525957624
2025-09-17,54496.975147926525
2025-09-18,54380.58316726418
2025-09-19,54668.91043302425
2025-09-22,54288.931840110105
2025-09-23,54855.97763492215
2025-09-24,54919.4955638064
2025-09-25,54593.830349296295
2025-09-26,54891.621768951205
2025-09-29,55019.69185045121
2025-09-30,55398.634619951205
2025-10-01,54617.50778345521
2025-10-02,54558.752852737045
2025-10-03,55509.71067587024
2025-10-06,55521.00893057025
2025-10-07,56074.20887127424
2025-10-08,56170.86200092875
2025-10-09,55797.019632728756
2025-10-10,56207.80728935755
2025-10-13,56234.62694885755
2025-10-14,56580.896319782805
2025-10-15,56797.17138340474
2025-10-16,56691.98937749244
2025-10-17,57399.98791439243
2025-10-20,57655.574624879846
2025-10-21,57397.08314091285
2025-10-22,57031.81535798486
2025-10-23,56797.92127515851
2025-10-24,57554.23858218621
2025-10-27,57808.068092686204
2025-10-28,56968.790147586216
2025-10-29,56285.57361255357
2025-10-30,56360.73893096637
2025-10-31,56331.73177506476
2025-11-03,56349.64666902806
2025-11-04,56280.234998086074
2025-11-05,56812.69612669122
2025-11-06,57404.80591019057
2025-11-07,57592.64367660582
2025-11-10,57622.12766590582
2025-11-11,58381.69224220583
2025-11-12,58495.38335950583
2025-11-13,58201.304023705816
2025-11-14,58349.03595693582
2025-11-17,57895.57068241297
2025-11-18,58200.79990335348
2025-11-19,58124.09039678487
2025-11-20,57900.83460625758
2025-11-21,58441.05768275863
2025-11-24,59275.624492666335
2025-11-25,60113.621822498026
2025-11-26,60526.54995534704
2025-11-28,60927.297772553844
2025-12-01,60315.754299453845
2025-12-02,60677.37160185385
2025-12-03,61743.72023775384
2025-12-04,62010.324929953844
2025-12-05,61992.95180043505
2025-12-08,62006.089624611894
2025-12-09,61408.13168797339
2025-12-10,62089.02438843904
2025-12-11,62335.14677440679
2025-12-12,62225.25660367875
2025-12-15,62363.965630306295
2025-12-16,61800.22309730629
2025-12-17,61687.944332632855
2025-12-18,61284.386726732846
2025-12-19,61757.0034813907
2025-12-22,61963.454042489684
2025-12-23,61995.02006494619
